id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform
6724,Klever,klv,klever,29,2020-09-09 00:00:00,['wallet'],10000000000.0,3397615776.017622,10000000000,358,5000000000.0,98391506.48433407,2022-05-31T15:32:00.000Z,1958.0,TRON,TRX,tron,TVj7RNVHy6thbM7BWdSe9G6gXwKhjhdNZS,0.019678301296866815,5695724.62892935,-9.6927,-0.15489192,-0.74087833,-4.68325106,-36.01823707,-40.2335539,-19.22901769,66859306.93146272,0.0051,196783012.97,2022-05-31T15:32:00.000Z,
11035,Splintershards,sps,splintershards,22,2021-07-24 00:00:00,"['collectibles-nfts', 'gaming', 'play-to-earn', 'animoca-brands-portfolio', 'bnb-chain']",3000000000.0,708078663.9216528,787889145.5743381,360,100000000.0,9289727.988152187,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0x1633b7157e7638c4d6593436111bf125ee74703f,0.09289727988152187,977663.71959694,29.299,0.47902261,0.3860857,-7.30074736,-20.62451409,-19.16645432,-32.91757478,65778581.82046384,0.0,278691839.64,2022-05-31T15:32:00.000Z,
8425,JasmyCoin,jasmy,jasmy,83,2021-02-11 00:00:00,[],50000000000.0,4754930779.736645,50000000000,361,30800000000.0,422351562.64048797,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,0.013712713072743115,237017021.02649406,93.3778,2.7870457,8.51176487,12.58786952,-27.36028247,-59.59568819,-15.20639091,65203001.4632833,0.005,685635653.64,2022-05-31T15:32:00.000Z,
7737,API3,api3,api3,65,2020-11-21 00:00:00,"['defi', 'oracles', 'coinfund-portfolio', 'dcg-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'cardano', 'injective-ecosystem']",,36907810.0,110978134,362,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,1.7549975170606875,12796479.75758515,38.6778,0.5811062,3.14109389,4.02399343,-46.0470964,-66.86572076,-76.92988599,64773114.910147615,0.005,194766349.62,2022-05-31T15:31:00.000Z,
7692,e-Radix,exrd,radix,29,2020-11-16 00:00:00,['ethereum-ecosystem'],4410000000.0,734834633.0,0,364,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414,0.08728714994222533,1291627.17486103,64.6289,0.34891471,1.97291028,-0.65722814,-22.32573516,-43.20628833,-37.90369887,64141620.79341112,0.0,384936331.25,2022-05-31T15:31:00.000Z,
8536,Mask Network,mask,mask-network,76,2021-02-21 00:00:00,"['communications-social-media', 'collectibles-nfts', 'content-creation', 'ethereum-ecosystem', 'metaverse', 'polygon-ecosystem', 'web3', 'animoca-brands-portfolio', 'injective-ecosystem', 'bnb-chain']",100000000.0,29130722.72384565,100000000,365,47229163.0,103208699.7144712,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,2.1852747996925377,80186996.23497638,34.2588,2.69788824,11.79205381,17.52544956,-42.85581859,-63.50623089,-52.91450827,63658634.26525066,0.0049,218527479.97,2022-05-31T15:32:00.000Z,
7585,Freeway Token,fwt,freeway-token,6,2020-11-03 00:00:00,"['trustswap-launchpad', 'bnb-chain']",10000000000.0,5455459241.353833,10000000000,366,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4a7397b0b86bb0f9482a3f4f16de942f04e88702,0.011643067975413344,724465.32364135,-22.6804,0.1467797,-1.95620239,12.53350632,-29.90713013,-29.48306297,37.17342137,63518282.78417959,0.0,116430679.75,2022-05-31T15:31:00.000Z,
7189,Origin Dollar,ousd,origin-dollar,10,2020-09-27 00:00:00,"['defi', 'stablecoin', 'usd-stablecoin']",,63605444.36262725,63605444.36262725,367,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86,0.9966386819322717,486368.07000992,322.6173,0.01283664,-0.09687027,-0.22631226,0.17929824,0.39930212,-0.08065217,63391646.23328526,0.0,63391646.23,2022-05-31T15:31:00.000Z,
8894,Deeper Network,dpr,deeper-network,27,2021-03-20 00:00:00,"['hardware', 'distributed-computing', 'polkadot', 'polkadot-ecosystem']",10000000000.0,1248593687.0,10000000000,371,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf3ae5d769e153ef72b4e3591ac004e89f48107a1,0.050199916508588245,2475503.47692576,-11.5252,1.12286469,6.67373388,25.98550947,2.6900607,-38.52670804,-46.42143195,62679298.84055036,0.0048,501999165.09,2022-05-31T15:32:00.000Z,
7242,cVault.finance,core,cvault-finance,6,2020-09-30 00:00:00,"['defi', 'dao', 'governance']",,10000.0,10000,372,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,6246.691782790095,39510.6563069,-30.6152,0.47067773,-0.14174745,4.08774474,-8.36512711,-9.07303843,-19.75635071,62466917.82790095,0.0,62466917.83,2022-05-31T15:31:00.000Z,
7590,Dvision Network,dvi,dvision-network,19,2020-11-04 00:00:00,"['collectibles-nfts', 'gaming', 'ethereum-ecosystem', 'metaverse', 'mvb', 'injective-ecosystem', 'bnb-chain']",1000000000.0,356896290.0,1000000000,374,186724316.0,32303332.737936843,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x10633216e7e8281e33c86f02bf8e565a635d9770,0.17300013961725716,7415237.77378359,6.5485,-0.31066063,-1.31673063,4.76212992,-44.9003129,-54.16474937,-65.08707558,61743107.9988811,0.0047,173000139.62,2022-05-31T15:31:00.000Z,
5908,dKargo,dka,dkargo,13,2020-07-27 00:00:00,[],5000000000.0,1017709366.0,5000000000,375,1745000000.0,105627250.6029626,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5dc60C4D5e75D22588FA17fFEB90A63E535efCE0,0.0605313757037035,14349516.89518986,-73.2606,0.11032667,-2.58289177,12.50954255,-24.22661736,-50.51574187,-32.84904797,61603347.99052389,0.0047,302656878.52,2022-05-31T15:31:00.000Z,
12064,Cratos,crts,cratos,12,2021-09-22 23:11:43,[],100000000000.0,35002669835.14,100000000000,376,31385152069.0,55017338.93073338,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x678e840c640f619e17848045d23072844224dd37,0.0017529734700592883,4945100.07637598,10.6217,0.77464259,-0.67988976,-10.47388747,-28.4669226,-40.18779059,-52.59886891,61358751.60224494,0.0,175297347.01,2022-05-31T15:31:00.000Z,
7236,Celo Dollar,cusd,celo-dollar,29,2020-09-29 00:00:00,"['defi', 'stablecoin', 'algorithmic-stablecoin', 'celo-ecosystem', 'usd-stablecoin']",1000000000000000.0,61287398.024111,61287398.024111,377,,,2022-05-31T15:31:00.000Z,5567.0,Celo,CELO,celo,0x765de816845861e75a25fca122bb6898b8b1282a,0.997720923600447,599114.87651056,27.6844,0.12413192,0.09680282,0.0106644,0.14140014,-0.28329484,0.31367774,61147719.36168424,0.0,997720923600447.0,2022-05-31T15:31:00.000Z,
7288,Venus,xvs,venus,81,2020-10-05 00:00:00,"['defi', 'yield-farming', 'binance-launchpool', 'lending-borowing', 'bnb-chain']",29960733.0,12170524.0,29745109.54,379,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,4.936879827366685,14305544.90097835,53.3144,0.69416703,3.25219398,8.15411639,-37.12214951,-63.11837119,-52.66823542,60084414.42408209,0.0046,147912538.36,2022-05-31T15:31:00.000Z,
7096,Bridge Oracle,brg,bridge-oracle,10,2020-09-18 00:00:00,"['oracles', 'smart-contracts', 'bnb-chain']",10000000000.0,8002167205.0,10000000000,380,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x6e4a971B81CA58045a2AA982EaA3d50C4Ac38F42,0.007485428124014264,84576.9609697,-2.2641,2.20097378,-7.93673774,-9.47576493,-57.540315,-90.94619585,475.24511405,59899647.44937161,0.0046,74854281.24,2022-05-31T15:31:00.000Z,
8757,SafeMoon,safemoon,safemoon,24,2021-03-09 00:00:00,['bnb-chain'],1000000000000000.0,562228940426928.06,0,381,,,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,1.0612604392732399e-07,51448.28157933,0.8328,0.93737801,1.44133807,-5.66674079,-79.21649895,-81.7993504,-91.89850465,59667133.22896099,0.0,106126043.93,2022-05-31T15:32:00.000Z,
7055,DeFi Pulse Index,dpi,defi-pulse-index,29,2020-09-15 00:00:00,"['defi', 'defi-index']",,558983.42579149,558983.42579149,385,571994.9636,59733224.21958118,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,104.4296331625623,1217186.18164234,-32.923,-0.0970869,5.65245415,6.15997981,-27.5947152,-52.43873483,-37.70190037,58374434.099357665,0.0,58374434.1,2022-05-31T15:31:00.000Z,
7959,Venus BUSD,vbusd,venus-busd,1,2020-12-12 00:00:00,['bnb-chain'],,2694770470.0,2694770470,387,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x95c78222B3D6e262426483D42CfA53685A67Ab9D,0.021589676612063468,0.0,0.0,-0.04169839,0.06629735,0.10736596,0.1622311,0.61523444,0.99401527,58179222.99103828,0.0,58179222.99,2022-05-31T15:31:00.000Z,
7320,Neutrino Token,nsbt,neutrino-system-base-token,8,2020-10-06 00:00:00,[],2835689.0,2720579.20868,2720579.20868,388,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9d79d5b61de59d882ce90125b18f74af650acb93,21.25797478205064,163320.5738003,96.8714,-4.30109353,17.90731888,2.47116461,-5.12710321,-55.73921429,-5.46478202,57834004.21069072,0.0,60281005.25,2022-05-31T15:31:00.000Z,
7208,Polkastarter,pols,polkastarter,69,2020-09-28 00:00:00,"['defi', 'polkadot', 'polkadot-ecosystem', 'launchpad', 'bnb-chain']",,93221432.0,100000000,389,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0.6191847912728675,6464574.52085167,12.3052,0.45441356,2.71358044,-0.43946266,-41.75315016,-64.92293464,-56.19714856,57721292.91507781,0.0044,61918479.13,2022-05-31T15:31:00.000Z,
11171,Mango,mngo,mango-markets,15,2021-08-05 00:00:00,"['decentralized-exchange', 'defi', 'derivatives', 'dao', 'dex', 'governance', 'solana-ecosystem']",5000000000.0,1000000000.0,10000000000,393,1083258088.296485,62066206.40843476,2022-05-31T15:31:00.000Z,5426.0,Solana,SOL,solana,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,0.057295862434813785,356458.23575105,-3.2788,-0.6423927,-0.20504766,-8.37672871,-50.15011535,-65.20870597,-64.24939076,57295862.43481378,0.0,286479312.17,2022-05-31T15:31:00.000Z,
5601,STAKE,stake,xdai,37,2020-05-19 00:00:00,"['defi', 'exnetwork-capital-portfolio']",8537500.0,8457068.41648427,8386162.48266532,395,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0Ae055097C6d159879521C384F1D2123D1f195e6,6.680135088884524,131375.62473585,-37.5626,0.00606601,3.8174208,-0.9099877,-33.04979128,-52.26118659,-42.06589619,56494359.47805365,0.0043,57031653.32,2022-05-31T15:31:00.000Z,
7882,Efforce,wozx,efforce,14,2020-12-07 00:00:00,['energy'],1000000000.0,527135519.39,1000000000,396,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x34950ff2b487d9e5282c5ab342d08a2f712eb79f,0.10535400548085545,1321891.7902848,-2.6312,0.51213043,-0.97007942,0.48466074,4.69939625,-35.82338545,-41.8562656,55535838.398967646,0.0,105354005.48,2022-05-31T15:31:00.000Z,
